Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,52.700001,52.869999,42.990002,43.320000,43.320000,148350500
2022-02-25,42.900002,44.400002,41.130001,41.169998,41.169998,85345700
2022-02-28,42.349998,42.779999,40.200001,40.730000,40.730000,112716700
2022-03-01,41.189999,43.580002,40.380001,42.650002,42.650002,113057500
2022-03-02,42.119999,43.169998,40.060001,40.580002,40.580002,81972200
2022-03-03,39.590000,42.939999,39.549999,42.270000,42.270000,89501400
2022-03-04,43.180000,45.000000,42.639999,44.110001,44.110001,96438400
2022-03-07,44.110001,49.090000,43.660000,49.009998,49.009998,101086600
2022-03-08,49.360001,51.220001,45.200001,49.669998,49.669998,132516200
2022-03-09,45.799999,47.029999,43.680000,44.360001,44.360001,88420700
2022-03-10,45.970001,47.599998,45.290001,45.770000,45.770000,80071000
2022-03-11,44.540001,48.830002,44.389999,48.540001,48.540001,74227300
2022-03-14,49.220001,51.750000,47.639999,51.389999,51.389999,82609100
2022-03-15,50.130001,50.910000,46.200001,46.639999,46.639999,90186400
2022-03-16,44.900002,46.459999,41.349998,41.380001,41.380001,114095200
2022-03-17,42.110001,42.590000,39.900002,39.919998,39.919998,73438700
2022-03-18,40.490002,40.900002,37.330002,37.490002,37.490002,99293100
2022-03-21,37.709999,39.180000,36.980000,37.740002,37.740002,103676800
2022-03-22,37.570000,37.700001,35.230000,35.529999,35.529999,85809900
2022-03-23,36.400002,37.049999,35.299999,37.029999,37.029999,100273700
2022-03-24,36.419998,37.119999,34.570000,34.590000,34.590000,82548600
2022-03-25,34.619999,35.939999,34.290001,34.650002,34.650002,96614300
2022-03-28,34.669998,35.040001,33.020000,33.060001,33.060001,79927900
2022-03-29,31.980000,32.730000,31.170000,31.370001,31.370001,88274800
2022-03-30,31.830000,32.779999,31.400000,32.320000,32.320000,87468800
2022-03-31,32.349998,33.810001,32.250000,33.669998,33.669998,85437900
2022-04-01,33.509998,34.700001,33.279999,33.779999,33.779999,90230100
2022-04-04,33.540001,33.619999,31.700001,31.709999,31.709999,57950800
2022-04-05,32.070000,34.099998,31.889999,33.770000,33.770000,80040400
2022-04-06,35.340000,36.770000,35.020000,35.980000,35.980000,122475800
2022-04-07,36.310001,37.410000,35.060001,35.740002,35.740002,102513500
2022-04-08,36.290001,37.439999,36.060001,37.200001,37.200001,86242100
2022-04-11,38.660000,40.000000,38.340000,39.840000,39.840000,84370600
2022-04-12,38.169998,40.910000,37.509998,40.389999,40.389999,110349200
2022-04-13,40.290001,40.549999,37.570000,37.959999,37.959999,79275700
2022-04-14,37.910000,40.619999,37.720001,40.540001,40.540001,81346000
2022-04-18,40.930000,41.500000,39.599998,40.380001,40.380001,87720900
2022-04-19,40.689999,41.060001,37.540001,37.770000,37.770000,74698700
2022-04-20,37.450001,39.810001,37.320000,39.439999,39.439999,89420400
2022-04-21,38.020000,42.180000,37.099998,41.799999,41.799999,115767300
2022-04-22,41.799999,45.299999,41.320000,45.139999,45.139999,123520900
2022-04-25,45.840000,46.369999,43.259998,43.380001,43.380001,135532900
2022-04-26,44.220001,48.410000,44.150002,48.200001,48.200001,126930400
2022-04-27,48.259998,49.279999,45.660000,48.459999,48.459999,145748500
2022-04-28,46.119999,48.110001,42.450001,43.349998,43.349998,143093500
2022-04-29,45.040001,49.410000,43.619999,49.029999,49.029999,125386700
2022-05-02,49.360001,50.869999,46.599998,46.639999,46.639999,160719500
2022-05-03,46.700001,47.790001,45.520000,46.529999,46.529999,119154300
2022-05-04,46.330002,48.709999,41.529999,41.790001,41.790001,164507800
2022-05-05,43.529999,49.410000,43.480000,47.950001,47.950001,175236700
2022-05-06,49.099998,51.790001,47.169998,49.810001,49.810001,200645100
2022-05-09,52.669998,56.389999,51.450001,55.610001,55.610001,165115800
2022-05-10,51.560001,56.020000,50.880001,53.650002,53.650002,188946300
2022-05-11,54.919998,58.919998,51.910000,58.430000,58.430000,174538300
2022-05-12,61.110001,62.610001,56.090000,58.759998,58.759998,175686300
2022-05-13,56.110001,57.110001,51.680000,52.439999,52.439999,126441200
2022-05-16,53.250000,54.799999,52.169998,54.049999,54.049999,110100300
2022-05-17,50.869999,52.990002,49.730000,49.950001,49.950001,119601400
2022-05-18,52.200001,57.919998,51.840000,57.209999,57.209999,130385400
2022-05-19,58.410000,59.400002,55.340000,58.259998,58.259998,160100000
2022-05-20,56.040001,63.860001,55.639999,58.730000,58.730000,171717700
