Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,33.820000,33.820000,33.820000,33.820000,32.335876,0
2021-12-14,32.730000,32.730000,32.730000,32.730000,32.207951,0
2021-12-15,33.020000,33.020000,33.020000,33.020000,32.493324,0
2021-12-16,32.980000,32.980000,32.980000,32.980000,32.453960,0
2021-12-17,32.810001,32.810001,32.810001,32.810001,32.286674,0
2021-12-20,32.610001,32.610001,32.610001,32.610001,32.089867,0
2021-12-21,32.910000,32.910000,32.910000,32.910000,32.385078,0
2021-12-22,33.119999,33.119999,33.119999,33.119999,32.591728,0
2021-12-23,33.220001,33.220001,33.220001,33.220001,32.690136,0
2021-12-27,33.490002,33.490002,33.490002,33.490002,32.955830,0
2021-12-28,33.480000,33.480000,33.480000,33.480000,32.945988,0
2021-12-29,33.490002,33.490002,33.490002,33.490002,32.955830,0
2021-12-30,33.490002,33.490002,33.490002,33.490002,32.955830,0
2021-12-31,33.470001,33.470001,33.470001,33.470001,32.936150,0
2022-01-03,33.459999,33.459999,33.459999,33.459999,32.926304,0
2022-01-04,33.509998,33.509998,33.509998,33.509998,32.975506,0
2022-01-05,33.099998,33.099998,33.099998,33.099998,32.572048,0
2022-01-06,33.090000,33.090000,33.090000,33.090000,32.562206,0
2022-01-07,33.020000,33.020000,33.020000,33.020000,32.493324,0
2022-01-10,32.990002,32.990002,32.990002,32.990002,32.463806,0
2022-01-11,33.189999,33.189999,33.189999,33.189999,32.660614,0
2022-01-12,33.259998,33.259998,33.259998,33.259998,32.729492,0
2022-01-13,33.099998,33.099998,33.099998,33.099998,32.572048,0
2022-01-14,33.090000,33.090000,33.090000,33.090000,32.562206,0
2022-01-18,32.660000,32.660000,32.660000,32.660000,32.139065,0
2022-01-19,32.529999,32.529999,32.529999,32.529999,32.011139,0
2022-01-20,32.330002,32.330002,32.330002,32.330002,31.814329,0
2022-01-21,32.000000,32.000000,32.000000,32.000000,31.489594,0
2022-01-24,32.040001,32.040001,32.040001,32.040001,31.528957,0
2022-01-25,31.870001,31.870001,31.870001,31.870001,31.361668,0
2022-01-26,31.799999,31.799999,31.799999,31.799999,31.292784,0
2022-01-27,31.740000,31.740000,31.740000,31.740000,31.233740,0
2022-01-28,32.070000,32.070000,32.070000,32.070000,31.558477,0
2022-01-31,32.349998,32.349998,32.349998,32.349998,31.834009,0
2022-02-01,32.500000,32.500000,32.500000,32.500000,31.981619,0
2022-02-02,32.709999,32.709999,32.709999,32.709999,32.188271,0
2022-02-03,32.200001,32.200001,32.200001,32.200001,31.686405,0
2022-02-04,32.209999,32.209999,32.209999,32.209999,31.696241,0
2022-02-07,32.180000,32.180000,32.180000,32.180000,31.666723,0
2022-02-08,32.270000,32.270000,32.270000,32.270000,31.755289,0
2022-02-09,32.540001,32.540001,32.540001,32.540001,32.020981,0
2022-02-10,32.180000,32.180000,32.180000,32.180000,31.666723,0
2022-02-11,32.000000,32.000000,32.000000,32.000000,31.489594,0
2022-02-14,31.840000,31.840000,31.840000,31.840000,31.332146,0
2022-02-15,32.070000,32.070000,32.070000,32.070000,31.558477,0
2022-02-16,32.130001,32.130001,32.130001,32.130001,31.617521,0
2022-02-17,31.809999,31.809999,31.809999,31.809999,31.302624,0
